#Tetra results
	Aliivibrio salmonicida LFI1238	P.piscicola_NCCB100098T_GCF_900166965..fna	Aliivibrio logei 1S159	Aliivibrio_logei_5S-186_GCF_000286935.fna	Photobacterium phosphoreum ANT-2200	Aliivibrio_sp._1S128_GCF_001691065.fna	Aliivibrio_sp._1S165_GCF_001691025.fna	Aliivibrio_sp._1S175_GCF_001690985.fna	Photobacterium_toruni_CECT_9189_GCF_900166975.fna	Photobacterium_sp._CECT9192_GCF_900185625.fna	Photobacterium_aquimaris_CECT9191_GCF_900185625	Aliivibrio wodanis	Photobacterium_sp._CECT9190_GCF_900185615.fna	Photobacterium_angustum_S14_GCF_000153265.fna	Photobacterium profundum SS9	
Aliivibrio salmonicida LFI1238	*	0.91031	0.99228	0.99218	0.90557	0.9852	0.98569	0.98579	0.90502	0.90952	0.9097	0.96999	0.91082	0.93103	0.93105	
P.piscicola_NCCB100098T_GCF_900166965..fna	0.91031	*	0.92153	0.92096	0.99172	0.9283	0.92541	0.92514	0.9966	0.99282	0.99369	0.92208	0.99215	0.96309	0.93603	
Aliivibrio logei 1S159	0.99228	0.92153	*	0.99971	0.91435	0.99038	0.99092	0.99097	0.91678	0.91911	0.91968	0.97436	0.92089	0.93041	0.92782	
Aliivibrio_logei_5S-186_GCF_000286935.fna	0.99218	0.92096	0.99971	*	0.91296	0.98929	0.98981	0.98984	0.9158	0.91823	0.91887	0.97261	0.92005	0.9286	0.92555	
Photobacterium phosphoreum ANT-2200	0.90557	0.99172	0.91435	0.91296	*	0.92557	0.92253	0.92235	0.99173	0.99392	0.9942	0.92372	0.99244	0.96499	0.93146	
Aliivibrio_sp._1S128_GCF_001691065.fna	0.9852	0.9283	0.99038	0.98929	0.92557	*	0.99975	0.99975	0.92675	0.92807	0.9285	0.99162	0.92969	0.94381	0.92562	
Aliivibrio_sp._1S165_GCF_001691025.fna	0.98569	0.92541	0.99092	0.98981	0.92253	0.99975	*	0.99999	0.92374	0.92488	0.92529	0.99127	0.92672	0.94125	0.92425	
Aliivibrio_sp._1S175_GCF_001690985.fna	0.98579	0.92514	0.99097	0.98984	0.92235	0.99975	0.99999	*	0.92344	0.92471	0.92511	0.99123	0.92648	0.94116	0.92422	
Photobacterium_toruni_CECT_9189_GCF_900166975.fna	0.90502	0.9966	0.91678	0.9158	0.99173	0.92675	0.92374	0.92344	*	0.99171	0.99221	0.92331	0.99008	0.96401	0.93168	
Photobacterium_sp._CECT9192_GCF_900185625.fna	0.90952	0.99282	0.91911	0.91823	0.99392	0.92807	0.92488	0.92471	0.99171	*	0.99927	0.92567	0.99839	0.96659	0.93745	
Photobacterium_aquimaris_CECT9191_GCF_900185625	0.9097	0.99369	0.91968	0.91887	0.9942	0.9285	0.92529	0.92511	0.99221	0.99927	*	0.92554	0.99856	0.96792	0.93841	
Aliivibrio wodanis	0.96999	0.92208	0.97436	0.97261	0.92372	0.99162	0.99127	0.99123	0.92331	0.92567	0.92554	*	0.92631	0.94966	0.91544	
Photobacterium_sp._CECT9190_GCF_900185615.fna	0.91082	0.99215	0.92089	0.92005	0.99244	0.92969	0.92672	0.92648	0.99008	0.99839	0.99856	0.92631	*	0.96628	0.93786	
Photobacterium_angustum_S14_GCF_000153265.fna	0.93103	0.96309	0.93041	0.9286	0.96499	0.94381	0.94125	0.94116	0.96401	0.96659	0.96792	0.94966	0.96628	*	0.95857	
Photobacterium profundum SS9	0.93105	0.93603	0.92782	0.92555	0.93146	0.92562	0.92425	0.92422	0.93168	0.93745	0.93841	0.91544	0.93786	0.95857	*	
