#ANIb and aligned percentage
	Aliivibrio salmonicida LFI1238	P.piscicola_NCCB100098T_GCF_900166965..fna	Aliivibrio logei 1S159	Aliivibrio_logei_5S-186_GCF_000286935.fna	Photobacterium phosphoreum ANT-2200	Aliivibrio_sp._1S128_GCF_001691065.fna	Aliivibrio_sp._1S165_GCF_001691025.fna	Aliivibrio_sp._1S175_GCF_001690985.fna	Photobacterium_toruni_CECT_9189_GCF_900166975.fna	Photobacterium_sp._CECT9192_GCF_900185625.fna	Photobacterium_aquimaris_CECT9191_GCF_900185625	Aliivibrio wodanis	Photobacterium_sp._CECT9190_GCF_900185615.fna	Photobacterium_angustum_S14_GCF_000153265.fna	Photobacterium profundum SS9	
Aliivibrio salmonicida LFI1238	*	70.92 [33.33]	97.11 [77.30]	96.90 [75.91]	70.73 [34.30]	82.98 [64.79]	83.02 [65.36]	83.02 [65.28]	70.94 [31.99]	70.91 [32.96]	70.93 [32.44]	81.01 [61.33]	70.81 [33.18]	70.95 [33.89]	70.92 [38.09]	
P.piscicola_NCCB100098T_GCF_900166965..fna	70.73 [34.25]	*	70.71 [36.48]	70.63 [36.34]	83.85 [79.45]	70.85 [35.85]	70.81 [35.99]	70.81 [35.98]	86.75 [75.86]	83.53 [76.97]	83.54 [76.31]	70.74 [34.44]	83.13 [77.01]	75.63 [59.22]	73.02 [46.30]	
Aliivibrio logei 1S159	97.04 [76.51]	70.64 [34.72]	*	98.74 [89.16]	70.19 [35.78]	82.85 [72.10]	82.89 [72.38]	82.90 [72.36]	70.70 [33.81]	70.42 [34.09]	70.49 [33.72]	80.64 [64.17]	70.41 [34.06]	70.38 [34.79]	70.84 [38.33]	
Aliivibrio_logei_5S-186_GCF_000286935.fna	96.86 [78.30]	70.40 [36.54]	98.83 [93.17]	*	70.07 [37.26]	82.76 [74.40]	82.76 [75.13]	82.77 [75.18]	70.51 [34.93]	70.23 [35.94]	70.42 [35.14]	80.57 [66.56]	70.27 [35.83]	70.33 [36.25]	70.64 [39.31]	
Photobacterium phosphoreum ANT-2200	70.50 [31.52]	83.60 [71.75]	70.33 [34.00]	70.28 [33.33]	*	70.51 [33.38]	70.45 [33.35]	70.44 [33.36]	84.05 [67.62]	84.99 [74.67]	85.15 [72.95]	70.55 [32.32]	84.44 [73.36]	75.55 [55.89]	72.78 [43.46]	
Aliivibrio_sp._1S128_GCF_001691065.fna	82.81 [68.97]	70.62 [36.86]	82.93 [77.39]	82.72 [76.70]	70.44 [37.27]	*	98.85 [92.81]	98.84 [92.83]	70.64 [35.89]	70.63 [36.40]	70.60 [35.90]	83.63 [71.09]	70.51 [36.72]	70.50 [36.92]	70.90 [39.16]	
Aliivibrio_sp._1S165_GCF_001691025.fna	82.85 [69.22]	70.59 [37.04]	82.90 [77.67]	82.70 [77.39]	70.25 [37.75]	98.98 [92.24]	*	99.96 [99.19]	70.66 [35.77]	70.45 [36.90]	70.47 [36.30]	83.64 [70.83]	70.38 [36.71]	70.37 [37.09]	70.80 [39.40]	
Aliivibrio_sp._1S175_GCF_001690985.fna	82.82 [69.03]	70.68 [36.67]	82.88 [77.19]	82.69 [76.65]	70.38 [37.19]	98.95 [92.26]	99.92 [99.14]	*	70.76 [35.56]	70.71 [36.35]	70.78 [35.51]	83.58 [70.81]	70.66 [36.06]	70.58 [36.63]	70.81 [39.36]	
Photobacterium_toruni_CECT_9189_GCF_900166975.fna	70.65 [33.30]	86.89 [77.04]	70.43 [36.07]	70.46 [35.08]	84.53 [76.10]	70.74 [35.26]	70.67 [35.26]	70.67 [35.28]	*	84.18 [72.15]	84.33 [72.87]	70.52 [35.60]	83.70 [72.14]	75.92 [57.58]	73.07 [46.18]	
Photobacterium_sp._CECT9192_GCF_900185625.fna	70.46 [35.56]	83.45 [78.35]	70.36 [37.48]	70.27 [37.20]	85.24 [84.08]	70.69 [37.12]	70.69 [37.18]	70.68 [37.23]	84.04 [72.74]	*	95.05 [85.54]	70.60 [35.86]	92.54 [86.03]	75.95 [61.21]	72.95 [47.02]	
Photobacterium_aquimaris_CECT9191_GCF_900185625	70.48 [34.62]	83.41 [80.28]	70.30 [37.07]	70.38 [36.80]	85.34 [84.46]	70.52 [36.74]	70.44 [36.92]	70.44 [36.92]	84.04 [75.20]	95.11 [88.09]	*	70.40 [35.83]	92.32 [85.85]	75.93 [61.83]	73.06 [47.53]	
Aliivibrio wodanis	80.91 [60.67]	70.90 [33.19]	80.73 [64.72]	80.67 [63.91]	70.65 [34.58]	83.77 [66.08]	83.74 [66.38]	83.75 [66.42]	70.89 [33.34]	70.72 [33.33]	70.76 [32.90]	*	70.72 [33.30]	70.86 [34.52]	71.09 [38.52]	
Photobacterium_sp._CECT9190_GCF_900185615.fna	70.46 [35.08]	83.03 [79.94]	70.26 [37.53]	70.26 [37.35]	84.66 [84.21]	70.59 [37.34]	70.51 [37.11]	70.50 [37.11]	83.62 [73.87]	92.61 [87.65]	92.32 [85.06]	70.52 [36.00]	*	75.78 [62.21]	72.86 [48.22]	
Photobacterium_angustum_S14_GCF_000153265.fna	70.74 [30.97]	75.68 [51.87]	70.61 [32.53]	70.53 [32.27]	75.67 [54.29]	70.81 [31.99]	70.81 [32.01]	70.83 [31.98]	75.89 [49.66]	75.85 [52.38]	75.91 [51.71]	70.82 [31.80]	75.81 [52.46]	*	73.10 [43.28]	
